id	Protein Accession	DNA Accession	AMR Gene Family	Drug Class	Resistance Mechanism	ARO Category	ARO Accession	ARO Name
JX423831|ARO:3001778	AGD91915.1	JX423831	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001778	NA
U10251|ARO:3001407	AAA83417.1	U10251	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001407	NA
KF297577|ARO:3001535	AGW83446.1	KF297577	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001535	NA
DQ193536|ARO:3001141	ABA60809.1	DQ193536	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001141	NA
AF325134|ARO:3001881	AAK55534.1	AF325134	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001881	NA
HQ425493|ARO:3001480	AEB98921.1	HQ425493	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001480	NA
JN704570|ARO:3001814	AFC95894.1	JN704570	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001814	NA
AY822595|ARO:3001900	AAV70602.1	AY822595	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001900	NA
AY271267|ARO:3000983	AAQ01671.1	AY271267	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000983	NA
AJ866284|ARO:3001116	CAI30650.2	AJ866284	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001116	NA
EF210159|ARO:3001919	ABM97538.1	EF210159	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001919	NA
EF374097|ARO:3001918	ABN48311.1	EF374097	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001918	NA
AY853593|ARO:3001002	AAW47922.1	AY853593	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001002	NA
AB008454|ARO:3002493	BAA23130.1	AB008454	SRT beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3002493	NA
AY265889|ARO:3002477	AAP93847.1	AY265889	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002477	NA
AJ295341|ARO:3002516	CAC17623.1	AJ295341	OCH beta-lactamase	monobactam;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002516	NA
EU155018|ARO:3001150	ABV72593.1	EU155018	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001150	NA
AY055205|ARO:3002403	AAL17873.1	AY055205	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002403	NA
KP096412|ARO:3003179	AJP67511.1	KP096412	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3003179	NA
V01499|ARO:3002655	CAA24743.1	V01499	APH(4)	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002655	NA
AB016934|ARO:3000423	BAA32494.1	AB016934	Fom phosphotransferase family	fosfomycin	antibiotic inactivation	NA	ARO:3000423	NA
FN554543|ARO:3002341	CBG22732.1	FN554543	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002341	NA
KJ207205|ARO:3002117	AHL39330.1	KJ207205	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002117	NA
AF355189|ARO:3002600	AAL82588.1	AF355189	AAC(3);AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002600	NA
AY070258|ARO:3001093	AAL68926.1	AY070258	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001093	NA
KC783461|ARO:3001383	AGK82336.1	KC783461	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001383	NA
Y10693|ARO:3001416	CAA71699.2	Y10693	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001416	NA
HQ661362|ARO:3001168	AEI83429.1	HQ661362	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001168	NA
L20573|ARO:3003250	AAA99503.1	L20573	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration	NA	ARO:3003250	NA
NG_050780.1|ARO:3002459	WP_032735535.1	NG_050780.1	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002459	NA
M97297|ARO:3002949	AAA65959.1	M97297	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002949	NA
AB261016|ARO:3002665	BAF80809.1	AB261016	16S rRNA methyltransferase (A1408)	aminoglycoside antibiotic	antibiotic target alteration	NA	ARO:3002665	NA
AM850916|ARO:3002429	CAP12354.2	AM850916	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002429	NA
AF143804|ARO:3000959	AAF66653.1	AF143804	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000959	NA
KF526113|ARO:3002112	AHA80101.1	KF526113	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002112	NA
AY028464|ARO:3000840	AAK38324.1	AY028464	JOHN beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3000840	NA
AB113580|ARO:3002332	BAD06399.1	AB113580	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002332	NA
AY227752|ARO:3002168	AAO42602.1	AY227752	MIR beta-lactamase	monobactam;cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002168	NA
FJ873739|ARO:3001948	ACP18863.1	FJ873739	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001948	NA
EF653400|ARO:3001644	ABW70410.1	EF653400	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001644	NA
AM051152|ARO:3002436	CAJ19611.1	AM051152	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002436	NA
NC_003197|ARO:3000826	NP_460903.1	NC_003197	resistance-nodulation-cell division (RND) antibiotic efflux pump	fluoroquinolone antibiotic;cephalosporin;glycylcycline;penam;tetracycline antibiotic;rifamycin antibiotic;phenicol antibiotic;triclosan	antibiotic efflux	NA	ARO:3000826	NA
EU250284|ARO:3002973	ABX54688.1	EU250284	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002973	NA
KM433671|ARO:3003160	AIY30331.1	KM433671	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3003160	NA
HM113564|ARO:3001472	ADI58622.1	HM113564	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001472	NA
AJ548797|ARO:3003094	CAD69003.1	AJ548797	CphA beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3003094	NA
AM850911|ARO:3002468	CAP12349.2	AM850911	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002468	NA
KF730652|ARO:3002797	AHE41345.1	KF730652	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002797	NA
JN205800|ARO:3001784	AEP16366.1	JN205800	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001784	NA
KF992029|ARO:3001840	AHM76779.1	KF992029	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001840	NA
HQ661363|ARO:3001181	AEI83430.1	HQ661363	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001181	NA
DQ309277|ARO:3001623	ABC26007.1	DQ309277	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001623	NA
AF155139|ARO:3002925	AAF36806.1	AF155139	vanZ;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002925	NA
KM087833|ARO:3001850	AIT76086.1	KM087833	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3001850	NA
JX121119|ARO:3001191	AFQ23958.1	JX121119	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001191	NA
M55547|ARO:3001404	AAA98406.1	M55547	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001404	NA
HE981194|ARO:3001347	CCK86744.1	HE981194	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001347	NA
AY115475|ARO:3002695	AAM77075.1	AY115475	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	NA	ARO:3002695	NA
AB703103|ARO:3001985	BAL72196.1	AB703103	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001985	NA
EF534736|ARO:3001024	ABQ00181.1	EF534736	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001024	NA
AM051159|ARO:3002442	CAJ19618.1	AM051159	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002442	NA
M29953|ARO:3002654	AAA76822.1	M29953	APH(3')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002654	NA
U94857|ARO:3002662	AAB58447.1	U94857	APH(9)	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002662	NA
DQ212986|ARO:3003069	ABA71729.1	DQ212986	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3003069	NA
GQ853681|ARO:3001455	ACX31142.1	GQ853681	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001455	NA
DQ139328|ARO:3002032	AAZ66866.1	DQ139328	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002032	NA
KM926622|ARO:3003172	AJG06172.1	KM926622	ACT beta-lactamase	carbapenem;cephalosporin;cephamycin;penam	antibiotic inactivation	NA	ARO:3003172	NA
FR853176|ARO:3001486	CCA94644.1	FR853176	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001486	NA
X97721.2|ARO:3000592	CAA66307.2	X97721.2	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration	NA	ARO:3000592	NA
JF780936|ARO:3002078	AEI52842.1	JF780936	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002078	NA
AY524987|ARO:3002278	AAS13759.1	AY524987	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002278	NA
AJ972619|ARO:3002856	CAI99385.1	AJ972619	trimethoprim resistant dihydrofolate reductase dfr	diaminopyrimidine antibiotic	antibiotic target replacement	NA	ARO:3002856	NA
JX560992|ARO:3003206	AFU35065.1	JX560992	ATP-binding cassette (ABC) antibiotic efflux pump	lincosamide antibiotic;pleuromutilin antibiotic	antibiotic efflux	NA	ARO:3003206	NA
GU932590|ARO:3001175	ADE58494.1	GU932590	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001175	NA
EU273755|ARO:3002727	ABX72042.1	EU273755	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002727	NA
AJ488303|ARO:3001770	CAD32565.1	AJ488303	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001770	NA
GQ342996|ARO:3003097	ACT97371.1	GQ342996	CfxA beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3003097	NA
AF167990|ARO:3002019	AAD50818.2	AF167990	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002019	NA
AM850910|ARO:3002467	CAP12348.2	AM850910	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002467	NA
Y15130|ARO:3002015	CAA75402.1	Y15130	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002015	NA
JN173058|ARO:3002751	AEL00458.1	JN173058	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002751	NA
FJ825622|ARO:3002376	ACO56763.1	FJ825622	VEB beta-lactamase	monobactam;cephalosporin	antibiotic inactivation	NA	ARO:3002376	NA
HM113560|ARO:3001658	ADI58618.1	HM113560	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001658	NA
AM051151|ARO:3002435	CAJ19610.1	AM051151	OKP beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3002435	NA
AB049569|ARO:3000958	BAB16308.1	AB049569	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000958	NA
Y10415|ARO:3003095	CAA71441.1	Y10415	CphA beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3003095	NA
JF274244.1|ARO:3001967	AEM44650.1	JF274244.1	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001967	NA
AY005110|ARO:3001874	AAF93177.1	AY005110	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001874	NA
AB872957|ARO:3002071	BAO05497.1	AB872957	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002071	NA
JQ724542|ARO:3001984	AFO69261.1	JQ724542	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001984	NA
KJ207202|ARO:3002098	AHL39322.1	KJ207202	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002098	NA
AJ252200|ARO:3003055	CAC14596.1	AJ252200	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;tetracycline antibiotic;phenicol antibiotic	antibiotic efflux	NA	ARO:3003055	NA
AY874537|ARO:3000883	AAW66604.1	AY874537	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000883	NA
JX121129|ARO:3001201	AFQ23968.1	JX121129	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001201	NA
AF091113|ARO:3000934	AAD33116.2	AF091113	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000934	NA
JF460794|ARO:3002073	AEM97672.1	JF460794	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002073	NA
AY227054|ARO:3001780	AAP69916.1	AY227054	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001780	NA
AF368302|ARO:3002843	AAK84316.1	AF368302	streptogramin vat acetyltransferase	streptogramin antibiotic	antibiotic inactivation	NA	ARO:3002843	NA
BX664015|ARO:3002641	CAE51745.1	BX664015	major facilitator superfamily (MFS) antibiotic efflux pump	tetracycline antibiotic	antibiotic efflux	NA	ARO:3002641	NA
Y14574|ARO:3000888	CAA74912.2	Y14574	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3000888	NA
KP050487.1|ARO:3001350	AJO16040.1	KP050487.1	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001350	NA
AY769933|ARO:3003005	AAV37205.1	AY769933	CfxA beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3003005	NA
FJ790516|ARO:3001804	ACN85419.1	FJ790516	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001804	NA
GQ242167|ARO:3002293	ACT33323.1	GQ242167	VIM beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002293	NA
KC603538|ARO:3002111	AGH70380.1	KC603538	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002111	NA
DQ212986|ARO:3002959	ABA71729.1	DQ212986	vanY;glycopeptide resistance gene cluster	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002959	NA
X80277|ARO:3003553	CAA56561.1	X80277	CepS beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3003553	NA
AF263519.1|ARO:3002583	AAK26252.2	AF263519.1	AAC(6')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002583	NA
JX514369|ARO:3002108	AGC54799.1	JX514369	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002108	NA
KC818234|ARO:3001384	AGK40892.1	KC818234	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001384	NA
L22689|ARO:3000593	AAC36915.1	L22689	Erm 23S ribosomal RNA methyltransferase	macrolide antibiotic;lincosamide antibiotic;streptogramin antibiotic	antibiotic target alteration	NA	ARO:3000593	NA
HM245379|ARO:3002267	ADK25050.1	HM245379	IND beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002267	NA
AY509120|ARO:3001302	AAS79458.1	AY509120	non-erm 23S ribosomal RNA methyltransferase (G748)	macrolide antibiotic;lincosamide antibiotic	antibiotic target alteration	NA	ARO:3001302	NA
AY037778|ARO:3001090	AAK69828.1	AY037778	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001090	NA
HQ398214|ARO:3001960	ADY02545.1	HQ398214	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001960	NA
KM087838|ARO:3002129	AIT76091.1	KM087838	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002129	NA
EF394371|ARO:3002046	ABN51007.1	EF394371	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002046	NA
AM176553|ARO:3001132	CAJ47133.2	AM176553	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3001132	NA
AF219127|ARO:3002257	AAG29757.1	AF219127	IND beta-lactamase	carbapenem	antibiotic inactivation	NA	ARO:3002257	NA
HM488988|ARO:3001467	ADK35871.1	HM488988	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001467	NA
GQ861437|ARO:3001654	ACX70402.1	GQ861437	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001654	NA
GU550123|ARO:3001041	ADB90239.1	GU550123	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001041	NA
AF259520|ARO:3002133	AAG36927.1	AF259520	DHA beta-lactamase	cephalosporin;cephamycin	antibiotic inactivation	NA	ARO:3002133	NA
AB177384|ARO:3001898	BAD16611.1	AB177384	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001898	NA
AM087454|ARO:3001015	CAJ32372.1	AM087454	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001015	NA
KF421161|ARO:3001545	AGZ83154.1	KF421161	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001545	NA
KP050485|ARO:3001553	AJO16038.1	KP050485	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001553	NA
AB176534|ARO:3001897	BAD83775.1	AB176534	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3001897	NA
Y17896|ARO:3000606	CAB96921.1	Y17896	FEZ beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3000606	NA
DQ390458|ARO:3002609	ABG49324.1	DQ390458	ANT(3'')	aminoglycoside antibiotic	antibiotic inactivation	NA	ARO:3002609	NA
HE820727|ARO:3002767	CCI51002.2	HE820727	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002767	NA
AM850913|ARO:3002470	CAP12351.2	AM850913	LEN beta-lactamase	penam;penem	antibiotic inactivation	NA	ARO:3002470	NA
NC_002516|ARO:3000805	NP_249397.1	NC_002516	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	NA	ARO:3000805	NA
Z12001|ARO:3002701	CAA78046.1	Z12001	major facilitator superfamily (MFS) antibiotic efflux pump	phenicol antibiotic	antibiotic efflux	NA	ARO:3002701	NA
JN638887|ARO:3001493	AEP43731.1	JN638887	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001493	NA
HQ874631|ARO:3002346	ADZ48685.1	HQ874631	GES beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002346	NA
KP050493|ARO:3003167	AJO16046.1	KP050493	CTX-M beta-lactamase	cephalosporin	antibiotic inactivation	NA	ARO:3003167	NA
GU045307|ARO:3002217	ACY01749.1	GU045307	IMP beta-lactamase	carbapenem;cephalosporin;cephamycin;penam;penem	antibiotic inactivation	NA	ARO:3002217	NA
FJ197316|ARO:3001032	ACI25375.1	FJ197316	TEM beta-lactamase	monobactam;cephalosporin;penam;penem	antibiotic inactivation	NA	ARO:3001032	NA
X53650|ARO:3003565	CAA37699.1	X53650	R39 beta-lactamase	penam	antibiotic inactivation	NA	ARO:3003565	NA
CP007005|ARO:3003186	AHJ02283.1	CP007005	CARB beta-lactamase	penam	antibiotic inactivation	NA	ARO:3003186	NA
AB015853|ARO:3003034	BAA34300.1	AB015853	resistance-nodulation-cell division (RND) antibiotic efflux pump	macrolide antibiotic;fluoroquinolone antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;penam;tetracycline antibiotic;acridine dye;phenicol antibiotic	antibiotic efflux	NA	ARO:3003034	NA
CP013924.1|ARO:3003811	ALX99516.1	CP013924.1	resistance-nodulation-cell division (RND) antibiotic efflux pump	glycylcycline;tetracycline antibiotic	antibiotic efflux	NA	ARO:3003811	NA
AJ871865|ARO:3002390	CAI43413.1	AJ871865	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002390	NA
JQ733571|ARO:3002062	AFK73431.1	JQ733571	CMY beta-lactamase	cephamycin	antibiotic inactivation	NA	ARO:3002062	NA
AJ223604|ARO:3002192	CAA11473.1	AJ223604	chloramphenicol acetyltransferase (CAT)	phenicol antibiotic	antibiotic inactivation	NA	ARO:3002192	NA
AF173226|ARO:3003067	AAD51347.1	AF173226	resistance-nodulation-cell division (RND) antibiotic efflux pump	aminoglycoside antibiotic;cephalosporin;cephamycin;penam	antibiotic efflux	NA	ARO:3003067	NA
AF294653|ARO:3001425	AAK52604.1	AF294653	OXA beta-lactamase	cephalosporin;penam	antibiotic inactivation	NA	ARO:3001425	NA
LN515534|ARO:3003155	CEA29751.1	LN515534	SHV beta-lactamase	carbapenem;cephalosporin;penam	antibiotic inactivation	NA	ARO:3003155	NA
L20573|ARO:3002987	AAA99503.1	L20573	undecaprenyl pyrophosphate related proteins	peptide antibiotic	antibiotic target alteration	NA	ARO:3002987	NA
FJ981622|ARO:3002738	ACS71747.1	FJ981622	quinolone resistance protein (qnr)	fluoroquinolone antibiotic	antibiotic target protection	NA	ARO:3002738	NA
AF491278|ARO:3002409	AAN28732.1	AF491278	OXY beta-lactamase	monobactam;cephalosporin;penam	antibiotic inactivation	NA	ARO:3002409	NA
EU250284|ARO:3002910	ABX54688.1	EU250284	glycopeptide resistance gene cluster;vanXY	glycopeptide antibiotic	antibiotic target alteration	NA	ARO:3002910	NA
